Model,Macro F1,AUC,CV Mean F1,CV Std F1
Hybrid Ensemble,0.7286328342448536,0.7613239183827697,0.7208986252350326,0.027723287437183754
LightGBM,0.7227739580680757,0.7684205554505951,0.7199845667762464,0.028132782349313903
Random Forest,0.7144112626544306,0.7578523521632344,0.7178616508573523,0.0273100371307118
SVM,0.714809709994093,0.7548294917815983,0.7090448500667771,0.02835042515292637
BalancedRandomForest,0.7166084113203293,0.7638508407330437,0.7178616508573523,0.0273100371307118
