Model,Macro F1,AUC,CV Mean F1,CV Std F1
Refined Hybrid Ensemble,0.5107936507936508,0.5366878458700554,0.5410054131631599,0.01536589961259132
LightGBM,0.5107936507936508,0.5366878458700554,0.535909844173364,0.023950926638754404
Hybrid Ensemble (Undersampling),0.5150603158811093,0.5328960852633736,0.5444199844021957,0.02361102815939499
Hybrid Ensemble (Cost-Sensitive),0.5107936507936508,0.5366878458700554,0.3333316743807959,0.0010516522649766777
Bagging Classifier,0.4574965952705212,0.5366878458700554,0.535909844173364,0.023950926638754404
AdaBoost Classifier,0.5107936507936508,0.5366878458700554,0.535909844173364,0.023950926638754404
Hybrid Ensemble (Polynomial Features),0.5107936507936508,0.5317688050830088,0.5410054131631599,0.01536589961259132
